model,roc_auc,pr_auc,precision(0.5),recall(0.5),f1(0.5),best_thresh,precision(best),recall(best),f1(best),min_cost,savings_vs_no_action
XGBoost,0.8458330104110156,0.6583224745316206,0.6853932584269663,0.4893048128342246,0.5709828393135725,0.04,0.32660228270412645,0.9946524064171123,0.4917382683410443,8447.14030952719,136878.09757205736
RandomForest,0.8372768606783952,0.6511160471963469,0.5528455284552846,0.7272727272727273,0.628175519630485,0.16,0.3003220611916264,0.9973262032085561,0.46163366336633666,9078.570154763594,136246.66772682098
LogisticRegression,0.687258777028598,0.4213639921374398,0.3275388838060384,0.9572192513368984,0.48807089297886846,0.17,0.2992,1.0,0.4605911330049261,8760.0,136565.23788158456
DecisionTree,0.6087434446769485,0.331810621451629,0.4117647058823529,0.44919786096256686,0.4296675191815857,0.01,0.4092009685230024,0.45187165775401067,0.42947903430749684,82096.88172653699,63228.35615504757
