iter	Passed	Remaining
413	5080	7191
414	5090	7175
415	5097	7156
416	5110	7144
417	5123	7134
418	5130	7113
419	5141	7100
420	5147	7080
421	5159	7066
422	5171	7054
423	5177	7033
424	5186	7016
425	5192	6995
426	5196	6972
427	5206	6957
428	5211	6936
429	5223	6924
430	5228	6902
431	5241	6890
432	5246	6870
433	5257	6856
434	5268	6843
435	5275	6824
436	5286	6811
437	5293	6792
438	5305	6780
439	5318	6768
440	5324	6749
441	5336	6737
442	5341	6715
443	5352	6702
444	5356	6680
445	5364	6663
446	5370	6643
447	5374	6621
448	5379	6601
449	5383	6579
450	5388	6559
451	5396	6542
452	5400	6521
453	5406	6502
454	5416	6487
455	5421	6467
456	5428	6449
457	5434	6430
458	5438	6409
459	5444	6391
460	5449	6370
461	5453	6350
462	5459	6332
463	5465	6313
464	5470	6293
465	5478	6277
466	5483	6258
467	5487	6238
468	5494	6221
469	5499	6201
470	5502	6180
471	5511	6165
472	5515	6145
473	5520	6125
474	5525	6107
475	5530	6087
476	5534	6068
477	5541	6051
478	5546	6032
479488	5572	58480489	5580	58481490	5586	57482491	5591	57483492	5597	57484493	5601	57485494	5604	57486495	5608	56487	5591	5866
488	5596	5847
489	5601	5830
490	5605	5811
491	5608	5791
492	5612	5771
493	5617	5753
494	5620	5733
495	5623	5714
496	5626	5694
497	5631	5677
498	5635	5658
499	5639	5639
500	5643	5620
501	5647	5602
502	5651	5584
503	5655	5565
504	5658	5546
505	5661	5527
506	5665	5509
507	5669	5491
508	5673	5472
509	5676	5453
510	5681	5436
511	5686	5419
512	5690	5402
513	5697	5387
514	5703	5370
515	5708	5354
516	5716	5340
517	5721	5323
518	5726	5307
519	5732	5291
520	5738	5275
521	5742	5258
522	5747	5241
523	5750	5223
524	5754	5206
525	5757	5188
526	5763	5172
527	5766	5154
528	5769	5137
529	5773	5119
530	5776	5102
531	5781	5086
532	5785	5069
533	5789	5051
534	5794	5036
535	5799	5020
536	5803	5003
537	5807	4986
538	5812	4971
539	5816	4955
540	5820	4938
541	5825	4922
542	5829	4906
543	5834	4890
544553	5862	47545554	5874	4710
555	5879	4695
556	5886	4681
557	5890	4665
558	5894	4650
559	5901	4637
560	5906	4621
561	5910	4606
562	5916	4592
563	5920	4576
564	5924	4561
565	5927	4545
566	5933	4531
567	5938	4516
568	5941	4500
569	5948	4487
570	5952	4472
571	5956	4456
572	5959	4441
573	5966	4428
574	5970	4413
575	5974	4397
576	5980	4384
577	5985	4369
578	5990	4355
579	6001	4345
580	6008	4333
581	6013	4318
582	6017	4304
583	6020	4288
584	6024	4273
585	6028	4258
586	6032	4244
587	6036	4229
588	6040	4214
589	6045	4201
590	6049	4186
591	6052	4171
592	6055	4156
593	6059	4141
594	6064	4127
595	6067	4113
596	6071	4098
597	6074	4083
598	6080	4070
599	6084	4056
600	6089	4042
601	6096	4030
602	6100	4016
603	6104	4001
604	6107	3987
605	6113	3974
606	6117	3960
607	6120	3946
608	6124	3931
609	6128	3918
610	6132	3904
611	6135	3889
612	6138	3875
613	6143	3861
614	6146	3848
615	6149	3833
616	6153	3819
617	6157	3806
618	6162	3792
619	6165	3778
620	6168	3764
621	6172	3751
622	6178	3738
623	6181	3724
624	6185	3711
625	6188	3697
626	6192	3684
627	6196	3670
628	6199	3656
629	6204	3643
630	6208	3630
631	6211	3617
632	6215	3603
633	6218	3590
634	6223	3577
635	6227	3564
636	6231	3551
637	6235	3537
638	6240	3525
639	6245	3512
640	6248	3499
641	6252	3486
642	6257	3474
643	6261	3461
644	6264	3448
645	6268	3434
646	6273	3422
647	6277	3410
648	6281	3397
649	6285	3384
650	6289	3371
651	6293	3359
652	6297	3346
653	6300	3333
654	6305	3321
655	6309	3308
656	6313	3296
657	6317	3283
658	6322	3271
659	6326	3259
660	6329	3246
661	6333	3233
662	6338	3221
663	6342	3209
664	6346	3196
665	6350	3184
666	6356	3173
667	6360	3161
668	6364	3149
669	6371	3138
670	6374	3125
671	6378	3113
672	6382	3101
673	6387	3089
674	6391	3077
675	6397	3066
676	6403	3055
677	6407	3043
678	6412	3031
679	6418	3020
680	6423	3008
681	6426	2996
682	6435	2986
683	6439	2975
684	6443	2963
685	6450	2952
686	6456	2941
687	6461	2930
688	6468	2919
689	6472	2907
690	6476	2896
691	6481	2884
692	6486	2873
693	6491	2862
694	6499	2852
695	6504	2840
696	6509	2829
697	6515	2819
698	6519	2807
699	6526	2796
700	6532	2786
701	6537	2774
702	6542	2763
703	6547	2752
704	6552	2741
705	6556	2730
706	6560	2718
707	6567	2708
708	6570	2696
709	6574	2685
710	6579	2674
711	6583	2663
712	6588	2651
713	6592	2640
714	6600	2630
715	6603	2619
716	6608	2608
717	6615	2598
718	6619	2587
719	6625	2576
720	6632	2566
721	6636	2555
722	6641	2544
723	6647	2533
724	6650	2522
725	6655	2511
726	6662	2501
727	6666	2490
728	6672	2480
729	6677	2469
730	6682	2458
731	6686	2448
732	6690	2437
733	6694	2426
734	6698	2415
735	6703	2404
736	6708	2393
737	6711	2382
738	6715	2371
739	6720	2361
740	6723	2350
741	6728	2339
742	6731	2328
743	6736	2318
744	6742	2307
745	6746	2296
746	6751	2286
747	6759	2277
748	6763	2266
749	6768	2256
750	6772	2245
751	6776	2234
752	6780	2224
753	6785	2213
754	6792	2204
755	6796	2193
756	6801	2183
757	6806	2173
758	6811	2162
759	6816	2152
760	6821	2142
761	6826	2132
762	6830	2121
763	6834	2111
764	6837	2100
765	6842	2090
766	6846	2079
767	6851	2069
768	6856	2059
769	6860	2049
770	6864	2038
771	6870	2029
772	6877	2019
773	6881	2009
774	6889	2000
775	6894	1990
776	6899	1980
777	6906	1970
778	6911	1960
779	6915	1950
780	6924	1941
781	6928	1931
782	6936	1922
783	6943	1912
784	6949	1903
785	6955	1893
786	6961	1884
787	6966	1874
788	6989	1869
789	6993	1859
790	7001	1849
791	7006	1839
792	7010	1829
793	7015	1820
794	7019	1810
795	7023	1799
796	7028	1790
797	7033	1780
798	7037	1770
799	7042	1760
800	7046	1750
801	7051	1740
802	7055	1730
803	7060	1721
804	7065	1711
805	7084	1705
806	7092	1696
807	7096	1686
808	7100	1676
809	7104	1666
810	7110	1657
811	7118	1648
812	7126	1639
813	7132	1629
814	7139	1620
815	7144	1610
816	7155	1602
817	7160	1593
818	7169	1584
819	7173	1574
820	7178	1565
821	7185	1555
822	7189	1546
823	7192	1536
824	7197	1526
825	7202	1517
826	7206	1507
827	7216	1499
828	7220	1489
829	7223	1479
830	7229	1470
831	7234	1460
832	7238	1451
833	7245	1442
834	7250	1432
835	7254	1423
836	7265	1414
837	7269	1405
838	7273	1395
839	7281	1386
840	7284	1377
841	7288	1367
842	7296	1358
843	7300	1349
844	7304	1339
845	7308	1330
846	7312	1320
847	7316	1311
848	7321	1302
849	7326	1292
850	7332	1283
851	7336	1274
852	7343	1265
853	7348	1256
854	7352	1246
855	7360	1238
856	7365	1229
857	7370	1219
858	7377	1210
859	7380	1201
860	7384	1192
861	7388	1182
862	7393	1173
863	7397	1164
864	7401	1155
865	7406	1145
866	7412	1137
867	7416	1127
868	7425	1119
869	7429	1110
870	7433	1100
871	7441	1092
872	7445	1083
873	7449	1073
874	7456	1065
875	7462	1056
876	7466	1047
877	7475	1038
878	7479	1029
879	7484	1020
880	7494	1012
881	7498	1003
882	7505	994
883	7511	985
884	7516	976
885	7526	968
886	7530	959
887	7538	950
888	7543	941
889	7546	932
890	7555	924
891	7559	915
892	7563	906
893	7571	897
894	7575	888
895	7579	879
896	7582	870
897	7588	861
898	7592	853
899	7596	844
900	7605	835
901	7610	826
902	7613	817
903	7623	809
904	7627	800
905	7634	792
906	7638	783
907	7643	774
908	7649	765
909	7653	756
910	7657	748
911	7661	739
912	7667	730
913	7671	721
914	7675	713
915	7681	704
916	7686	695
917	7689	686
918	7693	678
919	7699	669
920	7704	660
921	7708	652
922	7715	643
923	7719	634
924	7722	626
925	7726	617
926	7732	608
927	7736	600
928	7739	591
929	7746	583
930	7750	574
931	7754	565
